Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.354024701,-0.220226176,-0.154243431,2.463458181,1.218150641,0.02794371,0.672069571,0.0,-0.33824966,-0.568451427,51.43
0.0,0.0,0.0,0.502409961,0.0,-0.954120493,0.0,0.0,0.354024701,-0.220226176,-0.154243431,2.463458181,1.130829394,0.02794371,0.672069571,0.0,-0.33824966,-0.568451427,53.38
0.0,0.0,0.0,0.502409961,0.0,-0.707283351,0.0,0.0,0.354024701,-0.220226176,-0.154243431,2.463458181,1.039980017,0.02794371,0.672069571,0.0,-0.33824966,-0.568451427,55.02
0.0,0.0,0.0,0.502409961,0.0,-0.460446208,0.0,0.0,0.354024701,-0.220226176,-0.154243431,2.463458181,0.945602508,0.02794371,0.672069571,0.0,-0.33824966,-0.568451427,53.96
0.0,0.0,0.0,1.265067616,0.0,0.0,0.0,0.0,-1.932916806,-1.101251875,1.86422536,-0.794658949,0.032603751,0.02794371,1.447009155,0.0,-0.33824966,1.025098427,50.5723
0.0,0.0,0.0,1.036270319,-1.480714462,0.0,0.0,0.0,-1.932916806,-1.101251875,1.86422536,-0.794658949,0.032603751,0.02794371,1.447009155,0.0,-0.33824966,1.025098427,52.4623
0.0,0.0,0.0,0.807473023,-1.30317613,0.0,0.0,0.0,-1.932916806,-1.101251875,1.86422536,-0.794658949,0.032603751,0.02794371,1.447009155,0.0,-0.33824966,1.025098427,54.038
0.0,0.0,0.0,0.578675726,-1.125637798,0.0,0.0,0.0,-1.932916806,-1.101251875,1.86422536,-0.794658949,0.032603751,0.02794371,1.447009155,0.0,-0.33824966,1.025098427,54.9791
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,50.8922
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.936312498,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,46.8307
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.991529956,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,32.6459
0.0,0.0,0.0,1.122069305,0.0,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,31.2766
0.0,0.0,0.0,0.235479782,-0.970291758,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,32.9787
