CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump - Target (mm),CO2 (kg/t) - A-priori Information
12.58,0.27,287,123,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,,126.74201
12.58,0.27,294,126,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775,,129.53088
12.58,0.27,301,129,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964,142.0,132.34663
12.58,0.27,308,132,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,,135.1499
12.58,0.27,315,135,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,,137.96229
15.44,0.36,216,144,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,,114.39607
15.44,0.36,222,148,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,,117.28958
15.44,0.36,228,152,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,,120.16773
15.44,0.36,234,156,1057.564,775.43599,1833.0,125.35714,14.42,37.61,15.6,116.79107,93.0,123.03051
15.44,0.36,240,160,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571,,125.87794
15.44,0.36,246,164,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,99.0,128.71001
15.44,0.36,252,168,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775,,131.54688
15.44,0.36,258,172,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964,,134.41063
15.44,0.36,264,176,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,133.0,137.2619
15.44,0.36,270,180,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,,140.12229
18.3,0.45,180,180,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,,116.12407
18.3,0.45,185,185,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,,119.06558
18.3,0.45,190,190,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,,121.99173
18.3,0.45,195,195,1057.564,775.43599,1833.0,125.35714,14.42,37.61,15.6,116.79107,,124.90251
18.3,0.45,200,200,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571,,127.79794
18.3,0.45,205,205,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,82.0,130.67801
18.3,0.45,210,210,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775,83.0,133.56288
18.3,0.45,215,215,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964,,136.47463
18.3,0.45,220,220,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,92.0,139.3739
18.3,0.45,225,225,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,,142.28229
12.58,0.27,252,108,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,,120.44818
12.58,0.27,259,111,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,,123.50981
12.58,0.27,266,114,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,,126.55607
12.58,0.27,273,117,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,,129.58697
12.58,0.27,280,120,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,,132.60251
12.58,0.27,287,123,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,,135.6027
12.58,0.27,294,126,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,,138.60768
12.58,0.27,301,129,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,,141.63954
12.58,0.27,308,132,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,,144.65893
12.58,0.27,315,135,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,,147.68743
15.44,0.36,216,144,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,,122.17618
15.44,0.36,222,148,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,,125.28581
15.44,0.36,228,152,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,,128.38007
15.44,0.36,234,156,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,,131.45897
15.44,0.36,240,160,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,,134.52251
15.44,0.36,246,164,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,,137.5707
15.44,0.36,252,168,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,,140.62368
15.44,0.36,258,172,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,,143.70354
15.44,0.36,264,176,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,,146.77093
15.44,0.36,270,180,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,,149.84743
18.3,0.45,180,180,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,,123.90418
18.3,0.45,185,185,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,,127.06181
18.3,0.45,190,190,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,,130.20407
18.3,0.45,195,195,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,,133.33097
18.3,0.45,200,200,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,,136.44251
18.3,0.45,205,205,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,104.0,139.5387
18.3,0.45,210,210,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,,142.63968
18.3,0.45,215,215,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,,145.76754
18.3,0.45,220,220,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,,148.88293
18.3,0.45,225,225,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,,152.00743
12.58,0.27,252,108,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,,128.2283
12.58,0.27,259,111,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,,131.50603
12.58,0.27,266,114,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,,134.76841
12.58,0.27,273,117,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,,138.01543
12.58,0.27,280,120,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,,141.24709
12.58,0.27,287,123,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,,144.46338
12.58,0.27,294,126,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,,147.68448
12.58,0.27,301,129,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,,150.93246
12.58,0.27,308,132,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,,154.16795
12.58,0.27,315,135,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,,157.41257
15.44,0.36,216,144,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,,129.9563
15.44,0.36,222,148,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,,133.28203
15.44,0.36,228,152,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,119.0,136.59241
15.44,0.36,234,156,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,,139.88743
15.44,0.36,240,160,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,,143.16709
15.44,0.36,246,164,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,,146.43138
15.44,0.36,252,168,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,,149.70048
15.44,0.36,258,172,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,,152.99646
15.44,0.36,264,176,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,,156.27995
15.44,0.36,270,180,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,,159.57257
18.3,0.45,180,180,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,,131.6843
18.3,0.45,185,185,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,109.0,135.05803
18.3,0.45,190,190,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,,138.41641
18.3,0.45,195,195,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,,141.75943
18.3,0.45,200,200,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,,145.08709
18.3,0.45,205,205,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,,148.39938
18.3,0.45,210,210,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,,151.71648
18.3,0.45,215,215,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,,155.06046
18.3,0.45,220,220,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,,158.39195
18.3,0.45,225,225,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,,161.73257
12.58,0.27,252,108,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286,,136.00841
12.58,0.27,259,111,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571,,139.50226
12.58,0.27,266,114,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,,142.98075
12.58,0.27,273,117,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,,146.44389
12.58,0.27,280,120,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,,149.89166
12.58,0.27,287,123,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,,153.32407
12.58,0.27,294,126,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,,156.76128
12.58,0.27,301,129,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,,160.22537
12.58,0.27,308,132,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,,163.67698
12.58,0.27,315,135,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,,167.13771
15.44,0.36,216,144,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286,,137.73641
15.44,0.36,222,148,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571,157.0,141.27826
15.44,0.36,228,152,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,,144.80475
15.44,0.36,234,156,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,,148.31589
15.44,0.36,240,160,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,,151.81166
15.44,0.36,246,164,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,,155.29207
15.44,0.36,252,168,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,,158.77728
15.44,0.36,258,172,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,,162.28937
15.44,0.36,264,176,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,,165.78898
15.44,0.36,270,180,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,,169.29771
18.3,0.45,180,180,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286,146.0,139.46441
18.3,0.45,185,185,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571,,143.05426
18.3,0.45,190,190,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,,146.62875
18.3,0.45,195,195,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,,150.18789
18.3,0.45,200,200,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,,153.73166
18.3,0.45,205,205,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,,157.26007
18.3,0.45,210,210,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,,160.79328
18.3,0.45,215,215,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,,164.35337
18.3,0.45,220,220,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,,167.90098
18.3,0.45,225,225,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,,171.45771
