IDX,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
129,0.462702570367298,0.337166373274687,0.281917749488579,-0.903148313174196,-0.553397692432354,-0.0300433619144113,2.67872628163206,-0.687985700111071,0,0,0,0,1.1870321114603,-0.349490771702681,0,0,1.12206930546249,0,0,0,0,-1.93291680618048,-0.811202262027323,1.63995104989412,-0.794658949120436,0.153216222580102,-0.264061375861809,1.25327425921953,0,-0.33824966007582,1.02509842687067,43.5
147,1.34367778013808,0.368040345853815,-0.0173238918705153,-1.00146570965891,0,-0.712516717548179,0,0,0,0,0,0,-0.130435440223276,0,0.309160454624879,0,0.502409960853263,0,0,0,0,-0.280824321507957,-0.0389451684263379,0.0700308792226867,0.01987033346305,0.372084148021776,-0.222346363503612,0.284599778870503,-1.10877196780637,-0.33824966007582,-0.568451427252854,27.02
148,1.34367778013808,0.368040345853815,-0.0173238918705153,-1.00146570965891,0,-0.712516717548179,0,0,0,0,0,0,-0.130435440223276,0,0.309160454624879,0,0.502409960853263,0,0,0,0,-0.280824321507957,-0.0389451684263379,0.0700308792226867,0.01987033346305,0.251122171079811,-0.222346363503612,0.284599778870503,-1.10877196780637,-0.33824966007582,-0.568451427252854,29.33
149,1.34367778013808,0.368040345853815,-0.0173238918705153,-1.00146570965891,0,-0.712516717548179,0,0,0,0,0,0,-0.130435440223276,0,0.309160454624879,0,0.502409960853263,0,0,0,0,-0.280824321507957,-0.0389451684263379,0.0700308792226867,0.01987033346305,0.130160194137846,-0.222346363503612,0.284599778870503,-1.10877196780637,-0.33824966007582,-0.568451427252854,31
150,1.34367778013808,0.368040345853815,-0.0173238918705153,-1.00146570965891,0,-0.712516717548179,0,0,0,0,0,0,-0.130435440223276,0,0.309160454624879,0,0.502409960853263,0,0,0,0,-0.280824321507957,-0.0389451684263379,0.0700308792226867,0.01987033346305,0.00919821719588084,-0.222346363503612,0.284599778870503,-1.10877196780637,-0.33824966007582,-0.568451427252854,32.2
192,0.267777276734454,1.15532664662158,-0.386518124716151,-0.340951564184355,0,0,0.399233006926084,0.386551138347089,-0.811613331305571,0.666075063482133,0,0,0,0,0,0,0.502409960853263,0,0,0,0,0.316899026879179,-0.220226176313893,-0.15424343087323,3.00647770293583,1.07312239896468,-0.222346363503612,0.672069571010112,0,-0.33824966007582,-0.568451427252854,48.53
193,0.267777276734454,1.15532664662158,-0.386518124716151,-0.340951564184355,0,0,0.399233006926084,0.386551138347089,-0.811613331305571,0.666075063482133,0,0,0,0,0,0,0.502409960853263,0,0,0,0,0.316899026879179,-0.220226176313893,-0.15424343087323,3.00647770293583,1.07312239896468,0.0279437101449854,0.672069571010112,0,-0.33824966007582,-0.568451427252854,53.8
194,0.267777276734454,1.15532664662158,-0.386518124716151,-0.340951564184355,0,0,0.399233006926084,0.386551138347089,-0.811613331305571,0.666075063482133,0,0,0,0,0,0,0.502409960853263,0,0,0,0,0.316899026879179,-0.220226176313893,-0.15424343087323,3.00647770293583,1.07312239896468,0.278233783793583,0.672069571010112,0,-0.33824966007582,-0.568451427252854,53.92
195,0.267777276734454,1.15532664662158,-0.386518124716151,-0.340951564184355,0,0,0.399233006926084,0.386551138347089,-0.811613331305571,0.666075063482133,0,0,0,0,0,0,0.502409960853263,0,0,0,0,0.316899026879179,-0.220226176313893,-0.15424343087323,3.00647770293583,1.07312239896468,0.528523857442181,0.672069571010112,0,-0.33824966007582,-0.568451427252854,53.99
196,0.267777276734454,1.15532664662158,-0.386518124716151,-0.340951564184355,0,0,0.399233006926084,0.386551138347089,-0.811613331305571,0.666075063482133,0,0,0,0,0,0,0.502409960853263,0,0,0,0,0.316899026879179,-0.220226176313893,-0.15424343087323,3.00647770293583,1.07312239896468,0.0279437101449854,0.284599778870503,0,-0.33824966007582,-0.568451427252854,47.54
